,location,year,category,rank,query
0,Global,2001,Consumer Brands,1,Nokia
1,Global,2001,Consumer Brands,2,Sony
2,Global,2001,Consumer Brands,3,BMW
3,Global,2001,Consumer Brands,4,Palm
4,Global,2001,Consumer Brands,5,Adobe
5,Global,2001,Men,1,Nostradamus
6,Global,2001,Men,2,Osama bin Laden
7,Global,2001,Men,3,Eminem
8,Global,2001,Men,4,Michael Jackson
9,Global,2001,Men,5,Howard Stern
10,Global,2001,Movies,1,Harry Potter
11,Global,2001,Movies,2,Lord of the Rings
12,Global,2001,Movies,3,Final Fantasy
13,Global,2001,Movies,4,Tomb Raider
14,Global,2001,Movies,5,Shrek
15,Global,2001,MP3 Music Services,1,Morpheus
16,Global,2001,MP3 Music Services,2,Napster
17,Global,2001,MP3 Music Services,3,Gnutella
18,Global,2001,MP3 Music Services,4,Kazaa
19,Global,2001,MP3 Music Services,5,Audiogalaxy
20,Global,2001,Music Groups,1,Beatles
21,Global,2001,Music Groups,2,U2
22,Global,2001,Music Groups,3,N Sync
23,Global,2001,Music Groups,4,Backstreet Boys
24,Global,2001,Music Groups,5,Linkin Park
25,Global,2001,New Products,1,Windows XP
26,Global,2001,New Products,2,Xbox
27,Global,2001,New Products,3,PlayStation 2
28,Global,2001,New Products,4,GameCube
29,Global,2001,New Products,5,Nokia 5510
30,Global,2001,News Resources,1,CNN
31,Global,2001,News Resources,2,BBC
32,Global,2001,News Resources,3,New York Times
33,Global,2001,News Resources,4,MSNBC
34,Global,2001,News Resources,5,Washington Post
35,Global,2001,Retailers,1,Amazon
36,Global,2001,Retailers,2,IKEA
37,Global,2001,Retailers,3,"Toys ""R"" Us"
38,Global,2001,Retailers,4,Walmart
39,Global,2001,Retailers,5,Circuit City
40,Global,2001,Sports,1,Anna Kournikova
41,Global,2001,Sports,2,Tour de France
42,Global,2001,Sports,3,Dale Earnhardt
43,Global,2001,Sports,4,Wimbledon
44,Global,2001,Sports,5,US Open
45,Global,2001,TV Shows,1,Loft Story
46,Global,2001,TV Shows,2,Big Brother
47,Global,2001,TV Shows,3,The Simpsons
48,Global,2001,TV Shows,4,Survivor
49,Global,2001,TV Shows,5,Gran Hermano
50,Global,2001,Video Games,1,Counterstrike
51,Global,2001,Video Games,2,The Sims
52,Global,2001,Video Games,3,Operation Flashpoint
53,Global,2001,Video Games,4,Moorhuhn 3
54,Global,2001,Video Games,5,Wolfenstein
55,Global,2001,Women,1,Britney Spears
56,Global,2001,Women,2,Pamela Anderson
57,Global,2001,Women,3,Jennifer Lopez
58,Global,2001,Women,4,Madonna
59,Global,2001,Women,5,Aaliyah
60,Global,2002,Athletes,1,David Beckham
61,Global,2002,Athletes,2,Anna Kournikova
62,Global,2002,Athletes,3,Ronaldo
63,Global,2002,Athletes,4,Kobe Bryant
64,Global,2002,Athletes,5,Zinedine Zidane
65,Global,2002,Consumer Brands,1,Ferrari
66,Global,2002,Consumer Brands,2,Sony
67,Global,2002,Consumer Brands,3,Nokia
68,Global,2002,Consumer Brands,4,Disney
69,Global,2002,Consumer Brands,5,IKEA
70,Global,2002,Kids' Images,1,The Simpsons
71,Global,2002,Kids' Images,2,Pokémon
72,Global,2002,Kids' Images,3,Snoopy
73,Global,2002,Kids' Images,4,Superman
74,Global,2002,Kids' Images,5,Batman
75,Global,2002,Men,1,Eminem
76,Global,2002,Men,2,Brad Pitt
77,Global,2002,Men,3,David Beckham
78,Global,2002,Men,4,Josh Hartnett
79,Global,2002,Men,5,2Pac
80,Global,2002,Movies,1,Spiderman
81,Global,2002,Movies,2,Harry Potter
82,Global,2002,Movies,3,Star Wars
83,Global,2002,Movies,4,Jackass
84,Global,2002,Movies,5,Scooby Doo
85,Global,2002,Musicians and Bands,1,Eminem
86,Global,2002,Musicians and Bands,2,Shakira
87,Global,2002,Musicians and Bands,3,Madonna
88,Global,2002,Musicians and Bands,4,Nelly
89,Global,2002,Musicians and Bands,5,2Pac
90,Global,2002,News Stories,1,World Cup
91,Global,2002,News Stories,2,Iraq
92,Global,2002,News Stories,3,Sniper
93,Global,2002,News Stories,4,Hurricane Lili
94,Global,2002,News Stories,5,Hochwasser
95,Global,2002,Retailers,1,IKEA
96,Global,2002,Retailers,2,Home Depot
97,Global,2002,Retailers,3,Walmart
98,Global,2002,Retailers,4,Best Buy
99,Global,2002,Retailers,5,Sears
100,Global,2002,Technology,1,MP3
101,Global,2002,Technology,2,SMS
102,Global,2002,Technology,3,WinZip
103,Global,2002,Technology,4,Linux
104,Global,2002,Technology,5,FTP
105,Global,2002,Travel Destinations,1,Paris
