Title,Type ,Year Released,Seasons,Main Actor,Genre,International,Animated,RT Critic Score,RT Audience Score,IMDb Rating,Rating,Viewership (Millions)
#realityhigh,Film,2017,,Female,Comedy,no,no,40,53,5.2,TV-14,78
13TH,Film,2016,,Both,Crime,no,no,97,91,8.2,TV-MA,10
1922,Film,2017,,Male,Thriller,no,no,88,57,6.3,TV-MA,72
1983,TV,2018,1,Male,"Crime, Drama",yes,no,100,81,7.1,TV-MA,17
22-Jul,Film,2018,,Both,"Drama, Thriller",no,no,79,69,6.7,R,16
Insatiable,TV,2018,1,Female,"Comedy, Drama, Teen",no,no,10,84,6.7,TV-MA,78
Marvel's Iron Fist,TV,2017,2,Male,"Crime, Action, Drama",no,no,19,74,6.6,TV-MA,43
Between,TV,2015,2,Female,"Drama, Mystery",yes,no,22,66,6.1,TV-14,67
Disjointed,TV,2017,2,Female,Comedy,no,no,22,82,6.7,TV-MA,51
Friends From College,TV,2017,2,Both,"Romance, Comedy",no,no,24,74,6.8,TV-MA,78
Neo Yokio,TV,2017,2,Male,"Comedy, Fantasy, Teen",no,yes,31,57,5.9,TV-MA,46
Marseille,TV,2016,2,Male,"Drama, Thriller",yes,no,33,65,6.9,TV-MA,37
Girlboss,TV,2017,1,Female,Comedy,no,no,36,75,7.1,TV-MA,82
Hemlock Grove,TV,2013,3,Both,"Horror, Mystery, Thriller",no,no,38,70,7.2,TV-MA,14
Gypsy,TV,2017,1,Female,Drama,no,no,38,84,6.9,TV-MA,47
All About the Washingtons,TV,2018,1,Male,Comedy,no,no,40,92,4.2,TV-PG,1
Flaked,TV,2016,2,Male,"Comedy, Drama",no,no,41,85,7.2,TV-MA,27
Fuller House,TV,2016,4,Female,Comedy,no,no,42,73,6.9,TV-PG,64
Haters Back Off,TV,2016,2,Female,"Comedy, Teen",no,no,47,73,6.1,TV-PG,13
13 Reasons Why,TV,2017,2,Both,"Crime, Drama, Mystery",no,no,52,71,8,TV-MA,47
The Good Cop,TV,2018,1,Male,"Crime, Comedy, Drama",no,no,52,85,7.1,TV-PG,74
Kiss Me First,TV,2018,1,Female,"British, Crime",yes,yes,57,67,6.3,TV-MA,88
Damnation,TV,2017,1,Male,"Crime, Drama",no,no,60,90,7.7,TV-14,2
Bloodline,TV,2015,3,Male,"Drama, Mystery, Thriller",no,no,61,81,8,TV-MA,16
Marco Polo,TV,2014,2,Male,"Action, Drama",no,no,62,93,8.1,TV-MA,87
The Ranch,TV,2016,6,Male,Comedy,no,no,63,84,7.6,TV-MA,90
Disenchantment,TV,2018,1,Female,"Action, Comedy, Fantasy",no,yes,64,74,7.2,TV-14,22
Anne with an E,TV,2017,2,Female,Drama,yes,no,64,84,8.4,TV-PG,6
Altered Carbon,TV,2018,1,Male,"Crime, Action, Drama",no,no,65,90,8.2,TV-MA,94
Marvel's The Punisher,TV,2017,2,Male,"Crime, Action, Thriller",no,no,66,93,8.6,TV-MA,28
Troy: Fall of a City,TV,2018,1,Both,"British, Romance",yes,no,67,25,3.8,TV-MA,26
Lost In Space,TV,2018,1,Both,"Action, Drama, Fantasy",no,no,69,73,7.2,TV-PG,52
You,TV,2018,1,Male,"Thriller, Romance, Drama",no,no,93,78,7.8,TV-MA,98
Ozark,TV,2017,2,Male,"Crime, Drama, Thriller",no,no,69,92,8.3,TV-MA,98
Collateral,TV,2018,1,Female,"British, Crime",yes,no,72,73,6.8,TV-MA,53
Everything Sucks!,TV,2018,1,Both,"Comedy, Drama, Teen",no,no,72,91,7.5,TV-14,78
The OA,TV,2016,2,Female,"Drama, Mystery, Fantasy",no,no,75,75,7.8,TV-MA,62
The Kominsky Method,TV,2018,1,Male,"Comedy, Drama",no,no,76,94,8.2,TV-MA,31
Wet Hot American Summer: Ten Years Later,TV,2017,1,Both,Comedy,no,no,77,61,7,TV-MA,68
Marvel's The Defenders,TV,2017,1,Both,"Crime, Action, Drama",no,no,77,75,7.4,TV-MA,45
Safe,TV,2018,1,Male,"British, Crime",yes,no,77,79,7.3,TV-MA,88
Seven Seconds,TV,2018,1,Female,"Crime, Drama",no,no,77,84,7.7,TV-MA,42
House of Cards,TV,2013,6,Both,"Drama, Thriller",no,no,78,85,8.8,TV-MA,100
Santa Clarita Diet,TV,2017,3,Both,"Comedy, Horror, Thriller",no,no,79,86,7.9,TV-MA,15
Atypical,TV,2017,2,Male,"Comedy, Drama, Teen",no,no,80,96,8.3,TV-MA,1
The Rain,TV,2018,2,Both,"Drama, Mystery",yes,no,81,59,6.3,TV-MA,68
Requiem,TV,2018,1,Female,"British, Drama",yes,no,81,61,6.5,TV-MA,19
Maniac,TV,2018,1,Both,"Comedy, Drama, Mystery",no,no,81,83,7.9,TV-MA,44
The Get Down,TV,2016,2,Male,Drama,no,no,81,90,8.3,TV-MA,69
3%,TV,2017,2,Both,Fantasy,yes,no,83,85,7.5,TV-MA,9
The Innocents,TV,2018,1,Both,"British, Romance",yes,no,84,76,6.3,TV-MA,41
F Is For Family,TV,2015,3,Male,Comedy,no,yes,84,89,8,TV-MA,20
Sense8,TV,2015,2,Both,"Drama, Mystery, Fantasy",no,no,85,92,8.4,TV-MA,93
Grace and Frankie,TV,2015,5,Female,"Comedy, Drama",no,no,86,87,8.3,TV-MA,19
She's Gotta Have It,TV,2017,2,Female,"Romance, Comedy, Drama",no,no,87,78,6.7,TV-MA,21
Marvel's Luke Cage,TV,2016,2,Male,"Crime, Action, Drama",no,no,88,75,7.4,TV-MA,50
Godless,TV,2017,1,Both,Drama,no,no,88,84,8.4,TV-MA,63
Marvel's Jessica Jones,TV,2015,2,Female,"Crime, Action, Drama",no,no,88,85,8,TV-MA,75
Dark,TV,2017,1,Both,"Crime, Drama",yes,no,88,92,8.6,TV-MA,51
Riverdale,TV,2017,3,Male,"Crime, Drama, Mystery",no,no,87,72,7.4,TV-MA,84
The Mechanism,TV,2018,1,Both,"Crime, Drama",yes,no,89,78,8.8,TV-MA,91
Orange Is The New Black,TV,2013,6,Female,"Comedy, Drama",no,no,89,86,8.1,TV-MA,1
W/ Bob and David,TV,2015,1,Male,Comedy,no,no,89,87,7.5,TV-MA,49
Narcos,TV,2015,3,Male,"Crime, Action, Drama",no,no,89,95,8.8,TV-MA,29
Chilling Adventures of Sabrina,TV,2018,2,Female,"Horror, Mystery, Fantasy",no,no,90,80,7.8,TV-14,55
Castlevania,TV,2017,2,Male,"Horror, Thriller",no,yes,90,89,8.1,TV-MA,32
Sacred Games,TV,2018,1,Male,"Crime, Drama",yes,no,90,94,8.9,TV-MA,55
The Crown,TV,2016,2,Female,"British, Drama",yes,no,90,94,8.7,TV-MA,25
Marvel's Daredevil,TV,2015,3,Male,"Crime, Action",no,no,90,95,8.7,TV-MA,38
Wet Hot American Summer: First Day of Camp,TV,2015,1,Male,Comedy,no,no,92,80,7.4,TV-MA,70
The Haunting of Hill House,TV,2018,1,Both,"Drama, Horror, Mystery",no,no,92,91,8.7,TV-MA,98
BoJack Horseman,TV,2014,5,Male,Comedy,no,yes,92,94,8.5,TV-MA,55
A Series of Unfortunate Events,TV,2017,3,Male,"Action, Comedy",no,no,93,82,7.8,TV-PG,94
Love,TV,2016,3,Both,"Romance, Comedy, Drama",no,no,94,85,7.7,TV-MA,65
Stranger Things,TV,2016,2,Both,"Horror, Mystery, Fantasy",no,no,95,95,8.9,TV-14,55
On My Block,TV,2018,2,Both,"Romance, Comedy, Drama",no,no,95,98,8.1,TV-14,12
GLOW,TV,2017,2,Female,"Comedy, Drama",no,no,96,89,8.1,TV-MA,78
