location,year,category,rank,query
Global,2001,Consumer Brands,1,Nokia
Global,2001,Consumer Brands,2,Sony
Global,2001,Consumer Brands,3,BMW
Global,2001,Consumer Brands,4,Palm
Global,2001,Consumer Brands,5,Adobe
Global,2001,Men,1,Nostradamus
Global,2001,Men,2,Osama bin Laden
Global,2001,Men,3,Eminem
Global,2001,Men,4,Michael Jackson
Global,2001,Men,5,Howard Stern
Global,2001,Movies,1,Harry Potter
Global,2001,Movies,2,Lord of the Rings
Global,2001,Movies,3,Final Fantasy
Global,2001,Movies,4,Tomb Raider
Global,2001,Movies,5,Shrek
Global,2001,MP3 Music Services,1,Morpheus
Global,2001,MP3 Music Services,2,Napster
Global,2001,MP3 Music Services,3,Gnutella
Global,2001,MP3 Music Services,4,Kazaa
Global,2001,MP3 Music Services,5,Audiogalaxy
Global,2001,Music Groups,1,Beatles
Global,2001,Music Groups,2,U2
Global,2001,Music Groups,3,N Sync
Global,2001,Music Groups,4,Backstreet Boys
Global,2001,Music Groups,5,Linkin Park
Global,2001,New Products,1,Windows XP
Global,2001,New Products,2,Xbox
Global,2001,New Products,3,PlayStation 2
Global,2001,New Products,4,GameCube
Global,2001,New Products,5,Nokia 5510
Global,2001,News Resources,1,CNN
Global,2001,News Resources,2,BBC
Global,2001,News Resources,3,New York Times
Global,2001,News Resources,4,MSNBC
Global,2001,News Resources,5,Washington Post
Global,2001,Retailers,1,Amazon
Global,2001,Retailers,2,IKEA
Global,2001,Retailers,3,"Toys ""R"" Us"
Global,2001,Retailers,4,Walmart
Global,2001,Retailers,5,Circuit City
Global,2001,Sports,1,Anna Kournikova
Global,2001,Sports,2,Tour de France
Global,2001,Sports,3,Dale Earnhardt
Global,2001,Sports,4,Wimbledon
Global,2001,Sports,5,US Open
Global,2001,TV Shows,1,Loft Story
Global,2001,TV Shows,2,Big Brother
Global,2001,TV Shows,3,The Simpsons
Global,2001,TV Shows,4,Survivor
Global,2001,TV Shows,5,Gran Hermano
Global,2001,Video Games,1,Counterstrike
Global,2001,Video Games,2,The Sims
Global,2001,Video Games,3,Operation Flashpoint
Global,2001,Video Games,4,Moorhuhn 3
Global,2001,Video Games,5,Wolfenstein
Global,2001,Women,1,Britney Spears
Global,2001,Women,2,Pamela Anderson
Global,2001,Women,3,Jennifer Lopez
Global,2001,Women,4,Madonna
Global,2001,Women,5,Aaliyah
Global,2002,Athletes,1,David Beckham
Global,2002,Athletes,2,Anna Kournikova
Global,2002,Athletes,3,Ronaldo
Global,2002,Athletes,4,Kobe Bryant
Global,2002,Athletes,5,Zinedine Zidane
Global,2002,Consumer Brands,1,Ferrari
Global,2002,Consumer Brands,2,Sony
Global,2002,Consumer Brands,3,Nokia
Global,2002,Consumer Brands,4,Disney
Global,2002,Consumer Brands,5,IKEA
Global,2002,Kids' Images,1,The Simpsons
Global,2002,Kids' Images,2,Pokémon
Global,2002,Kids' Images,3,Snoopy
Global,2002,Kids' Images,4,Superman
Global,2002,Kids' Images,5,Batman
Global,2002,Men,1,Eminem
Global,2002,Men,2,Brad Pitt
Global,2002,Men,3,David Beckham
Global,2002,Men,4,Josh Hartnett
Global,2002,Men,5,2Pac
Global,2002,Movies,1,Spiderman
Global,2002,Movies,2,Harry Potter
Global,2002,Movies,3,Star Wars
Global,2002,Movies,4,Jackass
Global,2002,Movies,5,Scooby Doo
Global,2002,Musicians and Bands,1,Eminem
Global,2002,Musicians and Bands,2,Shakira
Global,2002,Musicians and Bands,3,Madonna
Global,2002,Musicians and Bands,4,Nelly
Global,2002,Musicians and Bands,5,2Pac
Global,2002,News Stories,1,World Cup
Global,2002,News Stories,2,Iraq
Global,2002,News Stories,3,Sniper
Global,2002,News Stories,4,Hurricane Lili
Global,2002,News Stories,5,Hochwasser
Global,2002,Retailers,1,IKEA
Global,2002,Retailers,2,Home Depot
Global,2002,Retailers,3,Walmart
Global,2002,Retailers,4,Best Buy
Global,2002,Retailers,5,Sears
Global,2002,Technology,1,MP3
Global,2002,Technology,2,SMS
Global,2002,Technology,3,WinZip
Global,2002,Technology,4,Linux
Global,2002,Technology,5,FTP
Global,2002,Travel Destinations,1,Paris
Global,2002,Travel Destinations,2,Canada
Global,2002,Travel Destinations,3,New York
Global,2002,Travel Destinations,4,India
Global,2002,Travel Destinations,5,Las Vegas
Global,2002,TV Shows,1,The Simpsons
Global,2002,TV Shows,2,Big Brother
Global,2002,TV Shows,3,The Osbournes
Global,2002,TV Shows,4,South Park
Global,2002,TV Shows,5,SpongeBob SquarePants
Global,2002,Video Games,1,The Sims
Global,2002,Video Games,2,Counter Strike
Global,2002,Video Games,3,GTA 3
Global,2002,Video Games,4,Warcraft 3
Global,2002,Video Games,5,Jedi Knight 2
Global,2002,Women,1,Britney Spears
Global,2002,Women,2,Pamela Anderson
Global,2002,Women,3,Jennifer Lopez
Global,2002,Women,4,Shakira
Global,2002,Women,5,Anna Kournikova
France,2002,Marques,1,SNCF
France,2002,Marques,2,Wanadoo
France,2002,Marques,3,Michelin
France,2002,Marques,4,Air France
France,2002,Marques,5,SFR
France,2002,Personnalités,1,Britney Spears
France,2002,Personnalités,2,Shakira
France,2002,Personnalités,3,Jennifer Lopez
France,2002,Personnalités,4,Vanessa Demouy
France,2002,Personnalités,5,Alyssa Milano
France,2002,Tendances de l'année,1,SNCF
France,2002,Tendances de l'année,2,Meteo
France,2002,Tendances de l'année,3,Anpe
France,2002,Tendances de l'année,4,FNAC
France,2002,Tendances de l'année,5,Loft Story
Germany,2002,Die häufigsten Suchbegriffe,1,Lastminute
Germany,2002,Die häufigsten Suchbegriffe,2,Ryanair
Germany,2002,Die häufigsten Suchbegriffe,3,Aldi
Germany,2002,Die häufigsten Suchbegriffe,4,Herr der Ringe
Germany,2002,Die häufigsten Suchbegriffe,5,Euro
Germany,2002,Meist gesuchte Automarken,1,BMW
Germany,2002,Meist gesuchte Automarken,2,Ferrari
Germany,2002,Meist gesuchte Automarken,3,Audi
Germany,2002,Meist gesuchte Automarken,4,VW
Germany,2002,Meist gesuchte Automarken,5,Porsche
Germany,2002,Meist gesuchte Musiker 2002,1,Shakira
Germany,2002,Meist gesuchte Musiker 2002,2,Jennifer Lopez
Germany,2002,Meist gesuchte Musiker 2002,3,Britney Spears
Germany,2002,Meist gesuchte Musiker 2002,4,No Angels
Germany,2002,Meist gesuchte Musiker 2002,5,Sarah Connor
United Kingdom,2002,Men,1,Gareth Gates
United Kingdom,2002,Men,2,David Beckham
United Kingdom,2002,Men,3,Eminem
United Kingdom,2002,Men,4,Orlando Bloom
United Kingdom,2002,Men,5,Brad Pitt
United Kingdom,2002,Searches,1,BBC
United Kingdom,2002,Searches,2,Big Brother
United Kingdom,2002,Searches,3,EasyJet
United Kingdom,2002,Searches,4,Britney Spears
United Kingdom,2002,Searches,5,Ryanair
United Kingdom,2002,Women,1,Britney Spears
United Kingdom,2002,Women,2,Kylie Minogue
United Kingdom,2002,Women,3,Holly Valance
United Kingdom,2002,Women,4,Kelly Brook
United Kingdom,2002,Women,5,Katie Price
Global,2003,Anime Images,1,Manga
Global,2003,Anime Images,2,Final Fantasy
Global,2003,Anime Images,3,Sailor Moon
Global,2003,Anime Images,4,Yu-Gi-Oh!
Global,2003,Anime Images,5,Dragon Ball Z
Global,2003,Consumer Brands,1,Ferrari
Global,2003,Consumer Brands,2,Sony
Global,2003,Consumer Brands,3,BMW
Global,2003,Consumer Brands,4,Disney
Global,2003,Consumer Brands,5,Ryanair
Global,2003,Earthquake Searches,1,Earthquake
Global,2003,Earthquake Searches,2,California Earthquake
Global,2003,Earthquake Searches,3,Earthquakes
Global,2003,Earthquake Searches,4,Earthquake California
Global,2003,Earthquake Searches,5,California Earthquakes
Global,2003,Fictional Character Images,1,The Simpsons
Global,2003,Fictional Character Images,2,Harry Potter
Global,2003,Fictional Character Images,3,Pokémon
Global,2003,Fictional Character Images,4,Spiderman
Global,2003,Fictional Character Images,5,Winnie the Pooh
Global,2003,Male Celebrity Images,1,Eminem
Global,2003,Male Celebrity Images,2,David Beckham
Global,2003,Male Celebrity Images,3,Orlando Bloom
Global,2003,Male Celebrity Images,4,Justin Timberlake
Global,2003,Male Celebrity Images,5,50 Cent
Global,2003,News Searches,1,Iraq
Global,2003,News Searches,2,Laci Peterson
Global,2003,News Searches,3,Kobe Bryant
Global,2003,News Searches,4,Bertrand Cantat
Global,2003,News Searches,5,RIAA
Global,2003,Searches,1,Britney Spears
Global,2003,Searches,2,Harry Potter
Global,2003,Searches,3,Matrix
Global,2003,Searches,4,Shakira
Global,2003,Searches,5,David Beckham
Australia,2003,Popular Movies,1,2 Fast 2 Furious
Australia,2003,Popular Movies,2,Lord of the Rings
Australia,2003,Popular Movies,3,Finding Nemo
Australia,2003,Popular Movies,4,Texas Chainsaw Massacre
Australia,2003,Popular Movies,5,Pirates of the Caribbean
Australia,2003,Popular Queries,1,Australian Idol
Australia,2003,Popular Queries,2,Christina Aguilera
Australia,2003,Popular Queries,3,Britney Spears
Australia,2003,Popular Queries,4,Qantas
Australia,2003,Popular Queries,5,Eminem
Australia,2003,Popular Sports-Related Queries,1,Melbourne Cup
Australia,2003,Popular Sports-Related Queries,2,Rugby World Cup
Australia,2003,Popular Sports-Related Queries,3,Surfing
Australia,2003,Popular Sports-Related Queries,4,Jonny Wilkinson
Australia,2003,Popular Sports-Related Queries,5,Soccer
Canada,2003,Popular Brands,1,Air Canada
Canada,2003,Popular Brands,2,Ferrari
Canada,2003,Popular Brands,3,Walmart
Canada,2003,Popular Brands,4,WestJet
Canada,2003,Popular Brands,5,IKEA
Canada,2003,Popular Music,1,Britney Spears
Canada,2003,Popular Music,2,Christina Aguilera
Canada,2003,Popular Music,3,Eminem
Canada,2003,Popular Music,4,Jennifer Lopez
Canada,2003,Popular Music,5,50 Cent
Canada,2003,Popular Queries,1,Finding Nemo
Canada,2003,Popular Queries,2,Paris Hilton
Canada,2003,Popular Queries,3,InuYasha
Canada,2003,Popular Queries,4,Canada 411
Canada,2003,Popular Queries,5,Orlando Bloom
France,2003,Femmes célèbres,1,Britney Spears
France,2003,Femmes célèbres,2,Lorie
France,2003,Femmes célèbres,3,JLo
France,2003,Femmes célèbres,4,Alyssa Milano
France,2003,Femmes célèbres,5,Christina Aguilera
France,2003,Hommes célèbres,1,Eminem
France,2003,Hommes célèbres,2,Harry Potter
France,2003,Hommes célèbres,3,Marilyn Manson
France,2003,Hommes célèbres,4,Michael Jackson
France,2003,Hommes célèbres,5,Justin Timberlake
France,2003,Tendances de l'année,1,SNCF
