location,year,category,rank,query
Global,2001,Consumer Brands,1,Nokia
Global,2001,Consumer Brands,2,Sony
Argentina,2015,Qué...,2,Qué es ISIS
Global,2001,Consumer Brands,4,Palm
Global,2001,Consumer Brands,5,Adobe
Greece,2016,Διασημότητες,3,Γιάννης Χαρούλης
Global,2001,Men,3,Eminem
Spain,2015,Los términos que más crecieron,2,Eurovisión
South Korea,2015,조리법,5,파김치 맛있게 담는 법
Global,2001,Movies,1,Harry Potter
Global,2001,Movies,2,Lord of the Rings
Global,2001,Movies,3,Final Fantasy
Global,2001,Movies,4,Tomb Raider
Global,2001,Movies,5,Shrek
Israel,2015,סרטים,1,מהיר ועצבני 7
Israel,2015,סרטים,2,50 גוונים של אפור
Israel,2015,סרטים,3,הקול בראש
Israel,2015,סרטים,4,צלף אמריקאי
Israel,2015,סרטים,5,להציל את מארק וואטני
Japan,2016,映画,3,ズートピア
